DeezerId,Title,Artist,Album,Source,ProposedSource,Confidence
"910474","Lovefool","The Cardigans","Best Of","Romeo + Juliet","Romeo + Juliet","high"
"3098301","It Must Have Been Love (From the Film ""Pretty Woman"")","Roxette","The Ballad Hits","Pretty Woman","Pretty Woman","high"
"664178","Kiss","Prince","Parade - Music from the Motion Picture Under the Cherry Moon","Under the Cherry Moon","Under the Cherry Moon","high"
"4615481","Never Ending Story","Limahl","The Never Ending Story","The NeverEnding Story","The NeverEnding Story","high"
"905697","Say You, Say Me","Lionel Richie","Dancing On The Ceiling (Expanded Edition)","White Nights","White Nights","high"
"846215","Baby, I Love Your Way","Big Mountain","The Best of Big Mountain","Reality Bites","Reality Bites","medium"
"3402413","Hooked On A Feeling","Blue Swede","Hooked On A Feeling","Guardians of the Galaxy","Guardians of the Galaxy","medium"
"3111030","I'm Gonna Be (500 Miles)","The Proclaimers","Sunshine on Leith","Benny & Joon","Benny & Joon","medium"
"2627636","Glory of Love","Peter Cetera","Solitude / Solitaire","The Karate Kid Part II","The Karate Kid Part II","high"
"7634915","Lean on Me","Bill Withers","Lean on Me: The Best of Bill Withers","Lean on Me","Lean on Me","medium"
"3218408","The Promise","When In Rome","When In Rome","Napoleon Dynamite","Napoleon Dynamite","medium"
"866832","I'm Kissing You","Des'ree","Supernatural","Romeo + Juliet","Romeo + Juliet","high"
"581533","Can't Fight This Feeling","REO Speedwagon","The Essential REO Speedwagon","Boogie Nights","Boogie Nights","low"
"2461244","When You Say Nothing At All","Ronan Keating","Ronan","Notting Hill","Notting Hill","high"
"2511688","Chevaliers De Sangreal (From The Da Vinci Code Original Motion Picture Soundtrack)","Hans Zimmer","The Da Vinci Code","The Da Vinci Code","The Da Vinci Code","high"
"900973","Streets of Philadelphia","Bruce Springsteen","Philadelphia","Philadelphia","Philadelphia","high"
"1577612","Stuck In The Middle With You","Stealers Wheel","Stealers Wheel","Reservoir Dogs","Reservoir Dogs","medium"
"71323824","These Boots Are Made for Walkin'","Nancy Sinatra","Kid Stuff","Full Metal Jacket","Full Metal Jacket","unknown"
"5416678","Lux Aeterna","Clint Mansell","Requiem for a Dream / OST","Requiem for a Dream","Requiem for a Dream","high"
"4094807","The Living Daylights","a-ha","Stay on These Roads","The Living Daylights","The Living Daylights","high"
"6066638","Theme From Schindler's List","John Williams","Schindler's List","Schindler's List","Schindler's List","high"
"3616256","Wind Beneath My Wings","Bette Midler","Experience The Divine (Greatest Hits)","Beaches","Beaches","high"
"632211062","I Melt with You","Modern English","After the Snow","Valley Girl","Valley Girl","unknown"
"3127743","Angel Of The Morning","Juice Newton","Juice Newton's Greatest Hits","Deadpool","Deadpool","unknown"
"2397688515","Psycho Killer (Live) (2023 Remaster)","Talking Heads","Stop Making Sense (Deluxe Edition) (Live)","Stop Making Sense","Stop Making Sense","high"
"1172188062","1999 (2019 Remaster)","Prince","1999","1999","1999","unknown"
"967017","Aquarius","Galt MacDermot","Hair","Hair","Hair","high"
"17479920","On the Road Again","Willie Nelson","Forrest Gump - The Soundtrack","Forrest Gump","Forrest Gump","high"
"4828156","Becoming one of ""The People"" Becoming one with Neytiri","James Horner","AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner","Avatar","Avatar","high"
"3583326","Autobots","Steve Jablonsky","Transformers: The Score","Transformers","Transformers","high"
"751146","Bring on the Dancing Horses","Echo and the Bunnymen","Songs to Learn & Sing","Pretty in Pink","Pretty in Pink","medium"
"24307621","Hakuna Matata","Nathan Lane","The Lion King","The Lion King","The Lion King","high"
"608783","Hazy Shade of Winter","The Bangles","The Essential Bangles","Less Than Zero","Less Than Zero","medium"
"1055631","It Had to Be You (Big Band and Vocals)","Harry Connick Jr.","When Harry Met Sally... Music From The Motion Picture","When Harry Met Sally","When Harry Met Sally","high"
"602137932","Nothing's Gonna Stop Us Now","Starship","Greatest Hits (Ten Years And Change 1979-1991)","Mannequin","Mannequin","high"
"145187390","Part of Your World","Jodi Benson","The Little Mermaid Special Edition","The Little Mermaid","The Little Mermaid","high"
"62471842","She","Elvis Costello","In Motion Pictures","Notting Hill","Notting Hill","high"
"1178950","Extreme Ways (Bourne's Ultimatum)","Moby","The Bourne Ultimatum","The Bourne Ultimatum","The Bourne Ultimatum","high"
"1075589","Banana Boat (Day-O)","Harry Belafonte","Calypso","Beetlejuice","Beetlejuice","medium"
"122832110","Just Around the Riverbend","Judy Kuhn","Pocahontas","Pocahontas","Pocahontas","high"
"6620918","Somebody's Baby","Jackson Browne","Fast Times At Ridgemont High [O.S.T.]","Fast Times at Ridgemont High","Fast Times at Ridgemont High","high"
"706690082","Neutron Dance","The Pointer Sisters","Stranger Things: Soundtrack from the Netflix Original Series, Season 3","Stranger Things","Stranger Things","high"
"134036244","A Groovy Kind of Love (2016 Remaster)","Phil Collins","The Singles (Expanded)","Buster","Buster","medium"
"578105","Man Against the World","Survivor","Rocky IV","Rocky IV","Rocky IV","high"
"534466","Any Way You Want It (2024 Remaster)","Journey","Greatest Hits (2024 Remaster)","Rock of Ages","Rock of Ages","low"
"145187400","Kiss the Girl","Samuel E. Wright","The Little Mermaid Special Edition","The Little Mermaid","The Little Mermaid","high"
"3860459","Al otro lado del río","Jorge Drexler","Al otro lado del rio","The Motorcycle Diaries","The Motorcycle Diaries","high"
"2514044","We Are Not Alone","Karla Devito","The Breakfast Club","The Breakfast Club","The Breakfast Club","high"
"6635013","Jungle Love","The Time","Ice Cream Castle","Purple Rain","Purple Rain","medium"
"2298341","Great Balls Of Fire","Jerry Lee Lewis","Great Balls Of Fire","Great Balls of Fire","Great Balls of Fire","high"
"2514040","Fire In The Twilight","Wang Chung","The Breakfast Club","The Breakfast Club","The Breakfast Club","high"
"3124362","Diamonds Are Forever","Shirley Bassey","Let Me Sing and I'm Happy","Diamonds Are Forever","Diamonds Are Forever","high"
"675718","The Edge of Forever","The Dream Academy","The Dream Academy","Ferris Bueller's Day Off","Ferris Bueller's Day Off","medium"
"534461","Only the Young (2024 Remaster)","Journey","Greatest Hits (2024 Remaster)","Vision Quest","Vision Quest","medium"
"884025","Dancing Queen","ABBA","ABBA Gold","Mamma Mia","Mamma Mia","medium"
"1171163","I'm Still Standing","Elton John","Too Low For Zero","Sing","Sing","unknown"
"884041","Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","ABBA Gold","Mamma Mia!","Mamma Mia!","medium"
"936899","Where Is My Mind?","Pixies","Death to the Pixies","Fight Club","Fight Club","medium"
"884035","The Winner Takes It All","ABBA","ABBA Gold","Mamma Mia","Mamma Mia","medium"
"69962764","Should I Stay or Should I Go (Remastered)","The Clash","Combat Rock (Remastered)","Stranger Things","Stranger Things","medium"
"84885581","Money for Nothing","Dire Straits","Brothers in Arms","Kingsman: The Secret Service","Kingsman: The Secret Service","unknown"
"24949681","Sweet Home Alabama","Lynyrd Skynyrd","Second Helping (Expanded Edition)","Sweet Home Alabama","Sweet Home Alabama","unknown"
"786717","Believe","Cher","Believe","The Polar Express","The Polar Express","unknown"
"15194531","Wake Me Up Before You Go-Go","Wham!","Make It Big","Zoolander","Zoolander","unknown"
"880181","Your Song","Elton John","Elton John","Moulin Rouge!","Moulin Rouge!","low"
"366440301","I Still Haven't Found What I'm Looking For","U2","The Joshua Tree (Super Deluxe)","Sing 2","Sing 2","unknown"
"97098410","Jump (2015 Remaster)","Van Halen","1984 (Remastered)","Ready Player One","Ready Player One","unknown"
"3121749","Call Me","Blondie","Call Me","American Gigolo","American Gigolo","high"
"116914122","Comfortably Numb","Pink Floyd","The Wall","The Wall","The Wall","high"
"884030","Mamma Mia","ABBA","ABBA Gold","Mamma Mia","Mamma Mia","high"
"962173","Thank You","Dido","No Angel","Sliding Doors","Sliding Doors","medium"
"2930817891","Bye Bye Bye","*NSYNC","Bye Bye Bye","Deadpool & Wolverine","Deadpool & Wolverine","unknown"
"884040","Voulez-Vous","ABBA","ABBA Gold","Mamma Mia","Mamma Mia","medium"
"884033","Super Trouper","ABBA","ABBA Gold","Mamma Mia","Mamma Mia","medium"
"917931","All Night Long (All Night)","Lionel Richie","Gold","The Wedding Singer","The Wedding Singer","unknown"
"11118881","We Are The World","U.S.A. for Africa","We Are The World","We Are The World","We Are The World","high"
"3068073","The Climb","Miley Cyrus","Hannah Montana The Movie","Hannah Montana The Movie","Hannah Montana The Movie","high"
"714269242","All By Myself","Céline Dion","Falling into You","Bridget Jones's Diary","Bridget Jones's Diary","medium"
"858371","The Final Countdown","Europe","The Final Countdown (Expanded Edition)","Arrested Development","Arrested Development","medium"
"730428","Kiss from a Rose","Seal","Best 1991 - 2004","Batman Forever","Batman Forever","high"
"1057312","Runaway Train (2022 Remaster)","Soul Asylum","Grave Dancers Union (2022 Remaster)","Runaway Train","Runaway Train","medium"
"2307303","Dragula","Rob Zombie","Hellbilly Deluxe","The Munsters","The Munsters","medium"
"884028","Take A Chance On Me","ABBA","ABBA Gold","Mamma Mia","Mamma Mia","medium"
"69962765","Rock the Casbah (Remastered)","The Clash","Combat Rock (Remastered)","The Royal Tenenbaums","The Royal Tenenbaums","unknown"
"82487070","I'll Be Missing You (feat. Faith Evans & 112) (2014 Remaster)","Diddy","No Way Out (2014 Remaster)","No Way Out","No Way Out","high"
"776220","Ain't Nobody","Chaka Khan","Epiphany: The Best of Chaka Khan, Vol. 1","Bodyguard","Bodyguard","medium"
"596034702","Superstition","Stevie Wonder","Number 1's","I, Robot","I, Robot","unknown"
"830196","I Can See Clearly Now","Jimmy Cliff","We All Are One: The Best Of Jimmy Cliff","Cool Runnings","Cool Runnings","high"
"10769094","I Will Survive (1981 Re-recording)","Gloria Gaynor","I Will Survive","The First Wives Club","The First Wives Club","medium"
"846327","We Are Family (1995 Remaster)","Sister Sledge","The Best of Sister Sledge (1973-1985)","We Are Family","We Are Family","medium"
"620264672","Angel","Shaggy","Hot Shot","City of Angels","City of Angels","medium"
"3248376","My Sharona","The Knack","Get The Knack","Reality Bites","Reality Bites","medium"
"726810","Conquest of Paradise","Vangelis","1492: Conquest of Paradise","1492: Conquest of Paradise","1492: Conquest of Paradise","high"
"1412033722","La valse d'Amélie","Yann Tiersen","Le Fabuleux destin d'Amélie Poulain (Bande originale du film)","Amélie","Amélie","high"
"3087241","21 Guns","Green Day","21st Century Breakdown","Transformers: Revenge of the Fallen","Transformers: Revenge of the Fallen","unknown"
"14618872","Just like Heaven (2006 Remaster)","The Cure","Kiss Me Kiss Me Kiss Me","Just Like Heaven","Just Like Heaven","medium"
"1169676","Live And Let Die","Guns N' Roses","Use Your Illusion I","Live and Let Die","Live and Let Die","high"
"1120335972","One Summer Day","Joe Hisaishi","Spirited Away Soundtrack","Spirited Away","Spirited Away","high"
"3583337","Arrival to Earth","Steve Jablonsky","Transformers: The Score","Transformers","Transformers","high"
"1487544412","Naruto Main Theme","Musashi Project","NARUTO ORIGINAL SOUNDTRACK","Naruto","Naruto","high"
"483262832","Prologue: One Ring to Rule Them All","Howard Shore","The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings","The Lord of the Rings: The Fellowship of the Ring","The Lord of the Rings: The Fellowship of the Ring","high"
"904642432","Theme from Love Story","Francis Lai","Love in the Rain","Love Story","Love Story","high"
"65699052","The Promise","Michael Nyman","Grandes Éxitos Del Cine De Siempre","The Piano","The Piano","medium"
"4828155","The bioluminescence of the night","James Horner","AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner","Avatar","Avatar","high"
"1120336012","The Dragon Boy","Joe Hisaishi","Spirited Away Soundtrack","Spirited Away","Spirited Away","high"
"483262982","The Caverns of Isengard","Howard Shore","The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings","The Lord of the Rings: The Fellowship of the Ring","The Lord of the Rings: The Fellowship of the Ring","high"
"526907762","Edoras","Howard Shore","The Lord of the Rings: The Two Towers - the Complete Recordings","The Lord of the Rings: The Two Towers","The Lord of the Rings: The Two Towers","high"
"3818932","Infinite White","Steve Jablonsky","Transformers: Revenge Of The Fallen - The Score","Transformers: Revenge of the Fallen","Transformers: Revenge of the Fallen","high"
"724941","Dueling Banjos","Eric Weissberg","Dueling Banjos From The Original Sound Track Of Deliverance And Additional Music","Deliverance","Deliverance","high"
"3583328","The All Spark","Steve Jablonsky","Transformers: The Score","Transformers","Transformers","high"
"4273198","Brooks Was Here","Thomas Newman","The Shawshank Redemption","The Shawshank Redemption","The Shawshank Redemption","high"
"483263142","The Fighting Uruk-hai","Howard Shore","The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings","The Lord of the Rings: The Fellowship of the Ring","The Lord of the Rings: The Fellowship of the Ring","high"
"1097352","Introduction (Titles)","Danny Elfman","Edward Scissorhands","Edward Scissorhands","Edward Scissorhands","high"
"4273195","Shawshank Prison (Stoic Theme)","Thomas Newman","The Shawshank Redemption","The Shawshank Redemption","The Shawshank Redemption","high"
"3116046","The Power Of Love","Huey Lewis & The News","Greatest Hits: Huey Lewis And The News","Back to the Future","Back to the Future","high"
"144469622","Xanadu feat Olivia Newton-John","Electric Light Orchestra","The Best Of ELO","Xanadu","Xanadu","high"
"3121967","Hip To Be Square","Huey Lewis & The News","Fore!","American Psycho","American Psycho","medium"
"1763221747","Ben","Trevor Rabin","National Treasure","National Treasure","National Treasure","high"
"7423150","Now We Are Free (Maximus Mix)","Gavin Greenaway","More Music From The Motion Picture ""Gladiator""","Gladiator","Gladiator","high"
"546004","You Make My Dreams (Come True)","Daryl Hall & John Oates","Voices","500 Days of Summer","500 Days of Summer","medium"
"15275788","The Sound of Silence (Electric Version)","Simon & Garfunkel","Sounds Of Silence","The Graduate","The Graduate","medium"
