DeezerId,Title,Artist,Album,Source,ProposedSource,Confidence
"409670302","In Between Days","The Cure","Greatest Hits","","","no_tie"
"122015000","One More Night (2016 Remaster)","Phil Collins","No Jacket Required (2016 Remaster)","","Miami Vice","medium"
"74628075","Runaway","Bon Jovi","Bon Jovi","","","no_tie"
"13145315","Making Love Out of Nothing at All","Air Supply","Ultimate Air Supply","","Chances Are","low"
"675818","I Want to Know What Love Is (1999 Remaster)","Foreigner","Agent Provocateur","","","no_tie"
"3092940","Don't You Want Me","The Human League","Dare!","","Pretty in Pink","medium"
"3167295","The Best (Edit)","Tina Turner","Simply the Best","","Mad Max Beyond Thunderdome","low"
"3119484","Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae","","","no_tie"
"2525873","Desert Rose","Sting","The Very Best Of Sting And The Police","","The Mummy Returns","low"
"3803020592","Lucky","Jason Mraz","Look For The Good (Deluxe Edition)","","","no_tie"
"555643","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition","","Thriller","low"
"7675332","Last Kiss","Pearl Jam","Lost Dogs","","Pearl Harbor","low"
"577487252","It's My Life","Bon Jovi","Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe)","","","no_tie"
"1079628","Rosanna","Toto","Toto IV","","","no_tie"
"922014","All I Wanna Do","Sheryl Crow","Tuesday Night Music Club","","Boys on the Side","medium"
"911496","Thnks fr th Mmrs","Fall Out Boy","Infinity On High","","","no_tie"
"3156760","Bitch","Meredith Brooks","Blurring The Edges","","Runaway Bride","low"
"992131","Torn","Natalie Imbruglia","Left Of The Middle","","","no_tie"
"13145305","All Out of Love","Air Supply","Ultimate Air Supply","","","unknown"
"15707218","Always on My Mind (2003 Remaster)","Pet Shop Boys","PopArt: The Hits","","","no_tie"
"569561","Maneater","Daryl Hall & John Oates","The Essential Daryl Hall & John Oates","","","no_tie"
"2686140","I'm Yours","Jason Mraz","We Sing. We Dance. We Steal Things. (Bonus Tracks Version)","","","no_tie"
"2237439","Buffalo Soldier","Bob Marley & The Wailers","Confrontation","","","no_tie"
"774798532","Inbetween Days (Live)","The Cure","Anniversary: 1978 - 2018 Live In Hyde Park London (Live)","","Anniversary 1978-2018 Live In Hyde Park London","low"
"4677851","Stir It Up","Bob Marley & The Wailers","Catch A Fire","","Cool Runnings","low"
