Title,Artist
"Bulls On Parade","Rage Against the Machine"
"Last Kiss","Pearl Jam"
"Breathe","The Prodigy"
"Hero","Mariah Carey"
"Bills, Bills, Bills","Destiny's Child"
"That's the Way It Is","Céline Dion"
"Interstate Love Song","Stone Temple Pilots"
"Crazy","Seal"
"Higher","Creed"
"All I Wanna Do","Sheryl Crow"
"If I Ruled the World (Imagine That) (feat. Lauryn Hill)","Nas"
"A Girl Like You","Edwyn Collins"
"Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit)","Modern Talking"
"Nookie","Limp Bizkit"
"Bitch","Meredith Brooks"
"I Will Always Love You","Whitney Houston"
"Torn","Natalie Imbruglia"
"Closer","Nine Inch Nails"
"Gettin' Jiggy Wit It","Will Smith"
"Men In Black (From ""Men In Black"" Soundtrack)","Will Smith"
"Waterfalls","TLC"
"If You Had My Love","Jennifer Lopez"
"Under the Bridge","Red Hot Chili Peppers"
"Give Me One Reason","Tracy Chapman"
"Strong Enough","Cher"
"People Everyday (Metamorphosis Mix)","Arrested Development"
"Larger Than Life","Backstreet Boys"
"Independent Women, Pt. 1","Destiny's Child"
"Send Me On My Way","Rusted Root"
"No More ""I Love You's""","Annie Lennox"
"It's Not Right But It's Okay","Whitney Houston"
"Walkin' On The Sun","Smash Mouth"
"Another Night","Real McCoy"
"My Own Worst Enemy","Lit"
"Oops!...I Did It Again","Britney Spears"
"Guerrilla Radio","Rage Against the Machine"
"Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa)","Pras"
"Welcome to Paradise","Green Day"
"That's The Way Love Goes","Janet Jackson"
"9Pm (Till I Come)","ATB"
"Tom's Diner (7"" Version)","DNA"
"Daughter (Remastered)","Pearl Jam"
"One Headlight","The Wallflowers"
"Say It Ain't So (Original Mix)","Weezer"
"I Want You Back (Radio Edit)","*NSYNC"
"Man in the Box","Alice In Chains"
"Sleeping Satellite","Tasmin Archer"
"Closing Time","Semisonic"
"Policy of Truth","Depeche Mode"
"(You Drive Me) Crazy","Britney Spears"
"Fastlove, Pt. 1","George Michael"
"Say You'll Be There","Spice Girls"
"Love Like This","Faith Evans"
"X Gon' Give It To Ya","DMX"
"Jumpin', Jumpin'","Destiny's Child"
"This Is How We Do It","Montell Jordan"
"Sometimes","Britney Spears"
"Hits from the Bong","Cypress Hill"
"Spice Up Your Life","Spice Girls"
"Personal Jesus","Depeche Mode"
"Juicy","The Notorious B.I.G."
"Back At One","Brian McKnight"
"The Power of Good-Bye","Madonna"
"Pony","Ginuwine"
"All My Life","K-Ci & JoJo"
"Jump","Kris Kross"
"Erase / Rewind","The Cardigans"
"How Bizarre","OMC"
"Sex & Candy","Marcy Playground"
"I Melt with You","Modern English"
"Champagne Supernova (Remastered)","Oasis"
"Cherub Rock (2011 Remaster)","The Smashing Pumpkins"
"No Rain","Blind Melon"
"Ready to Go","Republica"
"Breakfast At Tiffany's","Deep Blue Something"
"I Have Nothing","Whitney Houston"
"Butterfly","Crazy Town"
"Differences","Ginuwine"
"Disarm (2011 Remaster)","The Smashing Pumpkins"
"Achy Breaky Heart","Billy Ray Cyrus"
"Tearin' up My Heart (Radio Edit)","*NSYNC"
"My Favourite Game","The Cardigans"
"Are You Ready","AC/DC"
"Too Close","Next"
"The Way","Fastball"
"Intergalactic (Remastered 2009)","Beastie Boys"
"Short Skirt / Long Jacket","Cake"
"Superman","Goldfinger"
"Ms. Fat Booty","Mos Def"
"Wannabe","Spice Girls"
"Monkey Wrench","Foo Fighters"
"Ray of Light","Madonna"
"Every Morning","Sugar Ray"
"Hanginaround","Counting Crows"
"I Don't Want to Wait","Paula Cole"
"Run Away","Real McCoy"
"I Touch Myself","Divinyls"
"Stop","Spice Girls"
"Canned Heat","Jamiroquai"
"Moving on Up","M People"
"Never There","Cake"
"U Can't Touch This","MC Hammer"
"Laid","James"
"Creep","TLC"
"Walking on Broken Glass","Annie Lennox"
"Hard To Handle","The Black Crowes"
"All I Wanna Do Is Make Love To You","Heart"
"Livin' la Vida Loca","Ricky Martin"
"Far Behind","Candlebox"
"What a Girl Wants","Christina Aguilera"
"Hold On","Wilson Phillips"
"Right Here (Human Nature Radio Mix)","SWV"
"Violet","Hole"
"Sweet Dreams","La Bouche"
"7 Seconds (feat. Neneh Cherry)","Youssou N'dour"
"She's so High","Tal Bachman"
"I Want You","Savage Garden"
"The Most Beautiful Girl In the World","Prince"
"Lucky Man","The Verve"
"Step by Step","New Kids On The Block"
"Hypnotize (2014 Remaster)","The Notorious B.I.G."
"Saturday Night (Radio Mix)","Whigfield"
"Tomorrow","Silverchair"
"Hemorrhage (In My Hands)","Fuel"
"Freedom! '90 (Remastered)","George Michael"
"The Bad Touch","Bloodhound Gang"
"ATLiens","OutKast"
"Back & Forth","Aaliyah"
"Hurt","Nine Inch Nails"
"Run-Around","Blues Traveler"
"What's My Age Again?","blink-182"
"Chattahoochee","Alan Jackson"
"My Boo (Hitman's Club Mix)","Ghost Town DJs"
"So Anxious","Ginuwine"
"All Around the World (Remastered)","Lisa Stansfield"
"Drinking in L.A.","Bran Van 3000"
"Back for Good (Radio Mix)","Take That"
"Amber","311"
"Survivor","Destiny's Child"
"Name","The Goo Goo Dolls"
"Tonight, Tonight (Remastered 2012)","The Smashing Pumpkins"
"Unfinished Sympathy (2012 Mix/Master)","Massive Attack"
"Because the Night (Live Unplugged)","10,000 Maniacs"
"Sabotage","Beastie Boys"
"Unpretty","TLC"
"Ex-Factor","Lauryn Hill"
"MMMBop","Hanson"
"Jumper (1998 Edit)","Third Eye Blind"
"If You Could Only See","Tonic"
"Everything You Want","Vertical Horizon"
"Semi-Charmed Life","Third Eye Blind"
"Rosa Parks","OutKast"
"Circle of Life","Elton John"
"My Name Is Jonas","Weezer"
"If You Tolerate This Your Children Will Be Next","Manic Street Preachers"
"Party Up","DMX"
"Santa Monica","Everclear"
"Baby Got Back","Sir Mix-A-Lot"
"Freak On a Leash","Korn"
"Someday","Sugar Ray"
"Strike It Up","Black Box"
"Lollipop (Candyman)","Aqua"
"Push","Matchbox Twenty"
"Buddy Holly","Weezer"
"Israel's Son","Silverchair"
"Only Wanna Be With You","Hootie & The Blowfish"
"Good Vibrations","Marky Mark And The Funky Bunch"
"Would?","Alice In Chains"
"Back That Azz Up","Juvenile"
"SpottieOttieDopaliscious","OutKast"
"Never Let You Go (2008 Remaster)","Third Eye Blind"
"Suicidal Dream","Silverchair"
"Crash into Me","Dave Matthews Band"
"Brick","Ben Folds Five"
"Summertime","DJ Jazzy Jeff & The Fresh Prince"
"Stay Another Day","East 17"
"Stay (I Missed You)","Lisa Loeb"
"Damn I Wish I Was Your Lover","Sophie B. Hawkins"
"Come on over Baby (All I Want Is You) (Radio Version)","Christina Aguilera"
"3AM","Matchbox Twenty"
"Beautiful Disaster","311"
"Always Be My Baby","Mariah Carey"
"Steal My Sunshine (Single Version)","LEN"
"Where Do You Go","No Mercy"
"Show Me Love (Radio Version)","Robyn"
"Dammit","blink-182"
"Free Your Mind","En Vogue"
"Black Balloon","The Goo Goo Dolls"
"Falling Away from Me","Korn"
"Amazed","Lonestar"
"Inside Out","Eve 6"
"The Freshmen","The Verve Pipe"
"Incomplete","Sisqo"
"Children","Robert Miles"
"Cowboy Take Me Away","The Chicks"
"Definition","Black Star"
"Real World","Matchbox Twenty"
"Bring It All Back","S Club"
"Pure Massacre","Silverchair"
"You're Still The One","Shania Twain"
"Wide Open Spaces","The Chicks"
"It's Like That","Run DMC"
"Head over Feet (2015 Remaster)","Alanis Morissette"
"Common People (Full Length Version)","Pulp"
"Faith","Limp Bizkit"
"Hold My Hand","Hootie & The Blowfish"
"Gonna Make You Sweat (Everybody Dance Now)","C & C Music Factory"
"Better Days (And the Bottom Drops Out)","Citizen King"
"Little Miss Can't Be Wrong","Spin Doctors"
"Gone Till November (feat. The New York Philharmonic Orchestra)","Wyclef Jean"
"Brain Stew","Green Day"
"It's Gonna Be Me","N Sync"
"Goodbye Earl","The Chicks"
"Candy","Mandy Moore"
"Baby, Baby","Amy Grant"
"Let Her Cry","Hootie & The Blowfish"
"All I Want","Toad The Wet Sprocket"
"Meet Virginia","Train"
"Where Have All the Cowboys Gone ? (Remastered Version)","Paula Cole"
"End Of The Road","Boyz II Men"
"There's Your Trouble","The Chicks"
"Finally","CeCe Peniston"
"Barely Breathing","Duncan Sheik"
"I'll Make Love To You","Boyz II Men"
"Sweetest Thing (Remastered 2007)","U2"
"Truly Madly Deeply","Savage Garden"
"Ants Marching","Dave Matthews Band"
"Weather With You","Crowded House"
"Angel","Sarah McLachlan"
"Slide","The Goo Goo Dolls"
"Bleed The Freak","Alice In Chains"
"You're a God","Vertical Horizon"
"How's It Going to Be","Third Eye Blind"
"To Be With You - 2021 Remastered - 2021 Remastered (2021 Remastered)","Mr. Big"
"Rap Promoter","A Tribe Called Quest"
"Why I Love You So Much","Monica"
"California Love (Original Version)","2Pac"
"Still Not a Player (feat. Joe)","Big Pun"
"The General","Dispatch"
"Independence Day","Martina McBride"
"Summer Girls","LFO"
"Shimmer","Fuel"
"Neon Moon","Brooks & Dunn"
"Desperately Wanting","Better Than Ezra"
"I'm The Only One","Melissa Etheridge"
"Weak","SWV"
"Roll To Me","Del Amitri"
"Beer","Reel Big Fish"
"Lit Up","Buckcherry"
"Show Me Heaven (Acoustic Demo Version)","Maria McKee"
"The Difference","The Wallflowers"
"Come To My Window","Melissa Etheridge"
"Best I Ever Had (Grey Sky Morning)","Vertical Horizon"
"One Week","Barenaked Ladies"
"Unbelievable","EMF"
"Til I Hear It From You","Gin Blossoms"
"Zoot Suit Riot","Cherry Poppin' Daddies"
"Kind & Generous","Natalie Merchant"
"Girlfriend","Matthew Sweet"
"Here In Your Bedroom","Goldfinger"
"Bang Bang","Dispatch"
"That Was A Crazy Game Of Poker","O.A.R."
"S Club Party","S Club"
"The Bomb! (These Sound Fall into My Mind) (Radio Edit)","The Bucketheads"
"Long Day","Matchbox Twenty"
"Crazy for This Girl","Evan and Jaron"
"Da' Dip","Freak Nasty"
"Everything Falls Apart","Dog's Eye View"
"I Will Come To You","Hanson"
"A Long December","Counting Crows"
"Bound For The Floor","Local H"
"I Will Buy You A New Life","Everclear"
"The Horses","Daryl Braithwaite"
"Follow You Down (Edit)","Gin Blossoms"
"It's All Been Done","Barenaked Ladies"
"I Would Do Anything For Love (But I Won't Do That) (Orchestral Version)","Meat Loaf"
"Friends in Low Places","Brooks Jefferson"
"You Oughta Know","Alanis Morissette"
"Right Here Right Now","Jesus Jones"
"Brimful Of Asha (Norman Cook Remix Single Version)","Cornershop"
"My Favorite Mistake","Sheryl Crow"
"Sunny Came Home","Shawn Colvin"
"Round Here","Counting Crows"
"Freak of the Week","Marvelous 3"
"As I Lay Me Down","Sophie B. Hawkins"
"Hey Leonardo (She Likes Me for Me)","Blessid Union Of Souls"
"Hey Jealousy","Gin Blossoms"
"Make Me Lose Control","Eric Carmen"
"Sell Out","Reel Big Fish"
"The Rhythm of the Night","Corona"
"You Owe Me (feat. Ginuwine)","Nas"
"Save Tonight","Eagle-Eye Cherry"
"I Go Blind (2019 Remaster)","Hootie & The Blowfish"
"Walking in Memphis","Lonestar"
"Missing (Todd Terry Club Mix / US Radio Edit)","Everything But The Girl"
"Linger","The Cranberries"
"You Were Meant For Me","Jewel"
"It Feels So Good (Sonique vs. Ramiro) [Damon Hess Club Mix] (Radio Edit)","Sonique"
"Whatta Man (feat. En Vogue) (EP Version)","Salt 'N' Pepa"
"Virtual Insanity (Remastered 2006)","Jamiroquai"
"If I Let You Go (Radio Edit)","Westlife"
"There She Goes","Sixpence None The Richer"
"What I Got","Sublime"
"The World I Know (LP Version)","Collective Soul"
"Nuthin' But A ""G"" Thang","Dr. Dre"
"Smooth Operator (Single Version)","Sade"
"Say What You Want","Texas"
"Father Of Mine","Everclear"
"Take A Picture","Filter"
"Santeria","Sublime"
"Fly","Sugar Ray"
"Good","Better Than Ezra"
"Amphetamine","Everclear"
"I'll Be","Edwin McCain"
"There She Goes","The La's"
"Crush","Jennifer Paige"
"Shine","Collective Soul"
"From This Moment On","Shania Twain"
"He Wasn't Man Enough (Radio Edit)","Toni Braxton"
"Still D.R.E.","Dr. Dre"
"The Sign","Ace of Base"
"Tubthumping (Radio Edit)","Chumbawamba"
"Smells Like Teen Spirit","Nirvana"
"Counting Blue Cars (Tell Me Your Thoughts On God)","Dishwalla"
"Praise You","Fatboy Slim"
"Nothing Compares 2 U","Sinéad O'Connor"
"What Is Love (7"" Mix)","Haddaway"
"Forgot About Dre","Dr. Dre"
"Man! I Feel Like A Woman!","Shania Twain"
"Streets of Philadelphia (Single Edit)","Bruce Springsteen"
"Gangsta's Paradise","Coolio"
"Cryin'","Aerosmith"
"Dreams","Gabrielle"
"Found Out About You","Gin Blossoms"
"Everybody (Backstreet's Back) (Extended Version)","Backstreet Boys"
"Poison","Bell Biv DeVoe"
"Tom's Diner","Suzanne Vega"
"It's The End Of The World As We Know It (And I Feel Fine) (Remastered 2006)","R.E.M."
"Learning To Fly","Tom Petty And The Heartbreakers"
"Together Again","Janet Jackson"
"Mmm Mmm Mmm Mmm","Crash Test Dummies"
"I Think I'm Paranoid","Garbage"
"Natural Blues","Moby"
"Vogue","Madonna"
"Don't Speak","No Doubt"
"Who Will Save Your Soul","Jewel"
"Criminal","Fiona Apple"
"Wonderwall","Oasis"
"I Swear (Radio Edit)","All-4-One"
"Creep","Radiohead"
"The One And Only","Chesney Hawkes"
"Waiting for Tonight (Pablo's Miami Mix Radio Edit) (Spanglish)","Jennifer Lopez"
"Hook","Blues Traveler"
"Rhythm Is a Dancer (7"" Edit)","SNAP!"
"Genie In a Bottle","Christina Aguilera"
"Un-Break My Heart (Radio Edit)","Toni Braxton"
"King of Carrot Flowers Pt. 1","Neutral Milk Hotel"
"Foolish Games","Jewel"
"Doo Wop (That Thing)","Lauryn Hill"
"Loser","Beck"
"In the Aeroplane Over the Sea","Neutral Milk Hotel"
"All That She Wants","Ace of Base"
"Wicked Game","Chris Isaak"
"Drive","Incubus"
"Fu-Gee-La","Fugees"
"What It's Like","Everlast"
"Cannonball","The Breeders"
"You Make Me Wanna...","USHER"
"O.P.P","Naughty By Nature"
"With Arms Wide Open (New Version With Strings)","Creed"
"I Try","Macy Gray"
"The Rockafeller Skank (Short Edit)","Fatboy Slim"
"December","Collective Soul"
"Gypsy Woman (She's Homeless) (La Da Dee La Da Da) (Basement Boy Strip To The Bone Mix)","Crystal Waters"
"Lump","The Presidents of the United States of America"
"Just A Girl","No Doubt"
"Groove Is in the Heart","Deee-Lite"
"Spiderwebs","No Doubt"
"It's All Coming Back to Me Now (Radio Edit 1)","Céline Dion"
"The Impression That I Get","The Mighty Mighty Bosstones"
"This Is Your Night","Amber"
"Lightning Crashes","Live"
"Friday I'm in Love","The Cure"
"Mind Playing Tricks on Me","Geto Boys"
"Zombie","The Cranberries"
"Karma Police","Radiohead"
"Only Happy When It Rains","Garbage"
"Stupid Girl (Todd Terry Remix)","Garbage"
"Shoop (Re-Recorded)","Salt-N-Pepa"
"Hello Time Bomb","Matthew Good Band"
"Be My Lover","La Bouche"
"Your Woman","White Town"
"Glycerine (Remastered 2014)","Bush"
"Can I Kick It?","A Tribe Called Quest"
"Cornflake Girl","Tori Amos"
